Word,Conc.M,Conc.SD,Unknown,Total,Percent_known
roadsweeper,4.85,0.37,1,27,0.96
traindriver,4.54,0.71,3,29,0.9
tush,4.45,1.01,3,25,0.88
hairdress,3.93,1.28,0,29,1
pharmaceutics,3.77,1.41,4,26,0.85
hoover,3.76,1.23,4,29,0.86
shopkeeping,3.18,1.19,1,29,0.97
pushiness,2.48,1.24,1,30,0.97
underdevelop,2.37,1.4,0,30,1
tirelessness,2.28,1.28,1,30,0.97
oldfashioned,2.26,1.02,0,27,1
wellmannered,2.25,1.14,2,30,0.93
dismissiveness,1.83,1,1,30,0.97
spitefulness,1.8,0.76,0,25,1
untruthfulness,1.73,0.92,4,30,0.87
dispiritedness,1.56,0.71,3,28,0.89
sled,5,0,0,28,1
plunger,4.96,0.2,0,26,1
human,4.93,0.26,0,28,1
waterbed,4.93,0.27,0,27,1
cymbal,4.92,0.28,1,25,0.96
ginger,4.92,0.27,0,26,1
bobsled,4.9,0.41,0,29,1
cardboard,4.9,0.41,0,29,1
olive,4.9,0.31,0,30,1
dogsled,4.89,0.32,0,27,1
rubber,4.86,0.74,0,29,1
soybean,4.82,0.77,0,28,1
tangerine,4.81,0.62,0,27,1
headrest,4.8,0.76,0,30,1
eucalyptus,4.77,0.57,0,30,1
saltwater,4.77,0.82,0,30,1
armrest,4.76,0.83,0,29,1
paramedic,4.74,0.45,1,24,0.96
liquid,4.72,0.54,0,25,1
billfold,4.71,1,2,26,0.92
canine,4.71,0.6,0,28,1
flowerbed,4.71,0.6,0,28,1
soy,4.7,0.6,0,30,1
bald,4.69,0.47,0,26,1
lilac,4.69,0.97,0,29,1
hemorrhoid,4.68,0.72,1,29,0.97
orange,4.66,0.9,0,29,1
arachnid,4.65,0.69,3,29,0.9
underarm,4.63,0.72,0,30,1
barefoot,4.62,0.68,0,29,1
bearded,4.62,0.7,1,27,0.96
thyroid,4.61,0.74,0,28,1
wooden,4.61,0.63,0,28,1
sleeveless,4.6,0.5,0,25,1
concrete,4.59,1.05,0,27,1
panty,4.59,0.91,0,29,1
pregnant,4.59,0.89,0,27,1
helmeted,4.58,0.7,1,27,0.96
hula,4.58,0.64,3,29,0.9
female,4.57,0.88,0,28,1
crematory,4.56,0.58,1,28,0.96
pigtailed,4.55,0.78,0,29,1
sphincter,4.54,0.99,1,27,0.96
backrest,4.52,0.92,1,26,0.96
blonde,4.52,1.09,0,29,1
farmhand,4.52,1.01,0,27,1
fat,4.52,0.85,0,27,1
hairless,4.52,0.94,0,27,1
afghan,4.5,0.92,0,28,1
binocular,4.5,1.03,0,26,1
naked,4.5,1,0,28,1
hairy,4.48,0.98,0,27,1
saline,4.48,0.94,0,27,1
sudsy,4.48,1,3,28,0.89
wet,4.46,0.58,0,28,1
wooded,4.46,0.84,0,28,1
male,4.45,1.02,0,29,1
rusted,4.44,0.85,0,27,1
aquamarine,4.43,0.92,0,28,1
shirtless,4.43,0.97,0,30,1
headless,4.42,0.95,0,26,1
solid,4.42,0.81,0,26,1
beaded,4.41,1.08,0,27,1
blond,4.41,1.12,2,29,0.93
soapy,4.41,0.93,0,27,1
woodcutting,4.41,0.68,0,29,1
prosthetic,4.4,1.04,0,25,1
roast,4.4,0.97,0,30,1
tartar,4.4,1.13,0,30,1
newborn,4.39,1.03,0,28,1
feline,4.38,0.98,1,30,0.97
undercooked,4.38,0.71,0,24,1
vertebrate,4.38,0.9,1,27,0.96
bloodstained,4.37,1.18,0,27,1
flatbed,4.37,0.97,0,27,1
joint,4.37,1.08,0,27,1
