!term,mean_cos,SemD,BNC_wordcount,BNC_contexts,BNC_freq,lg_BNC_freq,,,,,,,,,,,,,,,
aa,0.02,1.69,577,314,6.6,0.88,,,,,,,,,,,,,,,
aah,0.08524469,1.07,92,58,1.1,0.31,,,,,,,,,,,,,,,
aback,0.025864026,1.59,294,293,3.4,0.64,,,,,,,,,,,,,,,
abacus,0.022684573,1.64,51,40,0.6,0.20,,,,,,,,,,,,,,,
abandon,0.00819893,2.09,1257,1193,14.4,1.19,,,,,,,,,,,,,,,
abandoned,0.00784336,2.11,2931,2684,33.7,1.54,,,,,,,,,,,,,,,
abandoning,0.007870012,2.10,475,464,5.5,0.81,,,,,,,,,,,,,,,
abandonment,0.011200031,1.95,483,456,5.6,0.82,,,,,,,,,,,,,,,
abandons,0.021034255,1.68,87,86,1.0,0.30,,,,,,,,,,,,,,,
abashed,0.0314,1.50,50,50,0.6,0.20,,,,,,,,,,,,,,,
abate,0.0294,1.53,67,51,0.8,0.25,,,,,,,,,,,,,,,
abated,0.01,1.87,94,91,1.1,0.32,,,,,,,,,,,,,,,
abatement,0.069426421,1.16,133,78,1.5,0.40,,,,,,,,,,,,,,,
abattoir,0.0264,1.58,63,51,0.7,0.24,,,,,,,,,,,,,,,
abbess,0.13779539,0.86,55,44,0.6,0.21,,,,,,,,,,,,,,,
abbey,0.032020685,1.49,1769,1071,20.3,1.33,,,,,,,,,,,,,,,
abbeys,0.073528571,1.13,127,109,1.5,0.39,,,,,,,,,,,,,,,
abbot,0.085236359,1.07,521,343,6.0,0.84,,,,,,,,,,,,,,,
abbots,0.0910,1.04,180,143,2.1,0.49,,,,,,,,,,,,,,,
abbreviated,0.014964512,1.82,169,132,1.9,0.47,,,,,,,,,,,,,,,
abbreviation,0.032169626,1.49,84,69,1.0,0.29,,,,,,,,,,,,,,,
abbreviations,0.042701222,1.37,120,101,1.4,0.38,,,,,,,,,,,,,,,
abc,0.0204,1.69,359,207,4.1,0.71,,,,,,,,,,,,,,,
abdicated,0.0575,1.24,60,55,0.7,0.23,,,,,,,,,,,,,,,
abdication,0.040280033,1.39,114,93,1.3,0.36,,,,,,,,,,,,,,,
abdomen,0.06,1.23,279,226,3.2,0.62,,,,,,,,,,,,,,,
abdominal,0.082626029,1.08,536,309,6.2,0.85,,,,,,,,,,,,,,,
abducted,0.030416195,1.52,164,148,1.9,0.46,,,,,,,,,,,,,,,
abduction,0.032857456,1.48,213,146,2.4,0.54,,,,,,,,,,,,,,,
aberrant,0.023847975,1.62,88,79,1.0,0.30,,,,,,,,,,,,,,,
aberration,0.011387553,1.94,142,138,1.6,0.42,,,,,,,,,,,,,,,
abetted,0.01100602,1.96,83,81,1.0,0.29,,,,,,,,,,,,,,,
abeyance,0.010426711,1.98,81,81,0.9,0.29,,,,,,,,,,,,,,,
abhorrent,0.016641619,1.78,61,59,0.7,0.23,,,,,,,,,,,,,,,
abide,0.011635219,1.93,293,276,3.4,0.64,,,,,,,,,,,,,,,
abiding,0.0187,1.73,305,292,3.5,0.65,,,,,,,,,,,,,,,
abilities,0.0191,1.72,1272,1051,14.6,1.19,,,,,,,,,,,,,,,
ability,0.01,2.06,8666,6830,99.6,2.00,,,,,,,,,,,,,,,
abject,0.013298863,1.88,114,114,1.3,0.36,,,,,,,,,,,,,,,
ablaze,0.0217,1.66,157,153,1.8,0.45,,,,,,,,,,,,,,,
able,0.005827853,2.23,26238,19990,301.6,2.48,,,,,,,,,,,,,,,
ably,0.017084736,1.77,97,96,1.1,0.33,,,,,,,,,,,,,,,
abnormal,0.033294122,1.48,781,557,9.0,1.00,,,,,,,,,,,,,,,
abnormalities,0.077691165,1.11,440,277,5.1,0.78,,,,,,,,,,,,,,,
abnormality,0.054067813,1.27,280,193,3.2,0.63,,,,,,,,,,,,,,,
abnormally,0.018807945,1.73,147,133,1.7,0.43,,,,,,,,,,,,,,,
aboard,0.041004894,1.39,910,752,10.5,1.06,,,,,,,,,,,,,,,
abode,0.02249325,1.65,157,142,1.8,0.45,,,,,,,,,,,,,,,
abolish,0.0184,1.74,530,465,6.1,0.85,,,,,,,,,,,,,,,
abolished,0.016919331,1.77,1052,922,12.1,1.12,,,,,,,,,,,,,,,
abolishing,0.019822558,1.70,205,198,2.4,0.53,,,,,,,,,,,,,,,
abolition,0.020528592,1.69,1113,874,12.8,1.14,,,,,,,,,,,,,,,
abolitionist,0.192922884,0.71,65,43,0.7,0.24,,,,,,,,,,,,,,,
abolitionists,0.238416451,0.62,172,58,2.0,0.47,,,,,,,,,,,,,,,
abominable,0.0201,1.70,82,76,0.9,0.29,,,,,,,,,,,,,,,
aboriginal,0.043300947,1.36,210,117,2.4,0.53,,,,,,,,,,,,,,,
aborigines,0.053680107,1.27,132,83,1.5,0.40,,,,,,,,,,,,,,,
abort,0.05,1.28,96,84,1.1,0.32,,,,,,,,,,,,,,,
aborted,0.0212,1.67,145,130,1.7,0.43,,,,,,,,,,,,,,,
abortion,0.059361293,1.23,1227,512,14.1,1.18,,,,,,,,,,,,,,,
abortions,0.104683415,0.98,239,131,2.7,0.57,,,,,,,,,,,,,,,
abortive,0.018302837,1.74,244,237,2.8,0.58,,,,,,,,,,,,,,,
abound,0.0111,1.95,272,269,3.1,0.62,,,,,,,,,,,,,,,
abounded,0.01591981,1.80,99,98,1.1,0.33,,,,,,,,,,,,,,,
abounds,0.01,1.99,77,76,0.9,0.28,,,,,,,,,,,,,,,
about,0.005417977,2.27,154841,60941,1779.8,3.25,,,,,,,,,,,,,,,
above,0.005752768,2.24,24381,17881,280.2,2.45,,,,,,,,,,,,,,,
abrasion,0.074343506,1.13,71,54,0.8,0.26,,,,,,,,,,,,,,,
abrasive,0.0317,1.50,235,200,2.7,0.57,,,,,,,,,,,,,,,
abreast,0.0147,1.83,180,177,2.1,0.49,,,,,,,,,,,,,,,
abridged,0.02,1.63,56,49,0.6,0.22,,,,,,,,,,,,,,,
abroad,0.01,1.94,3665,2963,42.1,1.63,,,,,,,,,,,,,,,
abrogated,0.024580138,1.61,55,51,0.6,0.21,,,,,,,,,,,,,,,
abrupt,0.01,1.83,461,447,5.3,0.80,,,,,,,,,,,,,,,
abruptly,0.037540907,1.43,1144,1080,13.1,1.15,,,,,,,,,,,,,,,
abseil,0.41181336,0.39,88,43,1.0,0.30,,,,,,,,,,,,,,,
abseiling,0.0999,1.00,83,55,1.0,0.29,,,,,,,,,,,,,,,
absence,0.0069,2.16,5583,4597,64.2,1.81,,,,,,,,,,,,,,,
absences,0.019291986,1.71,158,135,1.8,0.45,,,,,,,,,,,,,,,
absent,0.007643035,2.12,1605,1419,18.4,1.29,,,,,,,,,,,,,,,
absentee,0.024011299,1.62,146,117,1.7,0.43,,,,,,,,,,,,,,,
absenteeism,0.04,1.41,164,103,1.9,0.46,,,,,,,,,,,,,,,
absentees,0.022033175,1.66,81,53,0.9,0.29,,,,,,,,,,,,,,,
absently,0.049911464,1.30,194,186,2.2,0.51,,,,,,,,,,,,,,,
absolute,0.007772126,2.11,3094,2635,35.6,1.56,,,,,,,,,,,,,,,
absolutely,0.011448509,1.94,3766,3428,43.3,1.65,,,,,,,,,,,,,,,
absolution,0.037822887,1.42,65,60,0.7,0.24,,,,,,,,,,,,,,,
absolutism,0.0559,1.25,59,51,0.7,0.22,,,,,,,,,,,,,,,
absolutist,0.0805,1.09,50,43,0.6,0.20,,,,,,,,,,,,,,,
absolved,0.025092356,1.60,80,73,0.9,0.28,,,,,,,,,,,,,,,
absorb,0.010922033,1.96,753,706,8.7,0.98,,,,,,,,,,,,,,,
absorbed,0.010216041,1.99,1522,1366,17.5,1.27,,,,,,,,,,,,,,,
absorbent,0.038600862,1.41,82,72,0.9,0.29,,,,,,,,,,,,,,,
absorbing,0.010026494,2.00,442,419,5.1,0.78,,,,,,,,,,,,,,,
absorbs,0.02998401,1.52,162,151,1.9,0.46,,,,,,,,,,,,,,,
absorption,0.033577499,1.47,977,537,11.2,1.09,,,,,,,,,,,,,,,
abstain,0.02,1.69,122,103,1.4,0.38,,,,,,,,,,,,,,,
abstained,0.031258454,1.51,107,100,1.2,0.35,,,,,,,,,,,,,,,
abstaining,0.0325,1.49,50,48,0.6,0.20,,,,,,,,,,,,,,,
abstention,0.03,1.48,98,92,1.1,0.33,,,,,,,,,,,,,,,
abstentions,0.099771722,1.00,217,166,2.5,0.54,,,,,,,,,,,,,,,
abstinence,0.043795353,1.36,147,112,1.7,0.43,,,,,,,,,,,,,,,
abstract,0.021743245,1.66,2115,1647,24.3,1.40,,,,,,,,,,,,,,,
abstracted,0.02,1.69,135,118,1.6,0.41,,,,,,,,,,,,,,,
abstracting,0.068309999,1.17,61,55,0.7,0.23,,,,,,,,,,,,,,,
abstraction,0.04,1.41,448,348,5.1,0.79,,,,,,,,,,,,,,,
abstractions,0.046106041,1.34,150,130,1.7,0.44,,,,,,,,,,,,,,,
abstracts,0.063420698,1.20,162,117,1.9,0.46,,,,,,,,,,,,,,,
absurd,0.012946057,1.89,906,843,10.4,1.06,,,,,,,,,,,,,,,
absurdities,0.014196815,1.85,55,55,0.6,0.21,,,,,,,,,,,,,,,
absurdity,0.0172,1.76,243,215,2.8,0.58,,,,,,,,,,,,,,,
absurdly,0.01,1.89,179,176,2.1,0.49,,,,,,,,,,,,,,,
abundance,0.0145,1.84,611,541,7.0,0.90,,,,,,,,,,,,,,,
abundant,0.021036159,1.68,581,529,6.7,0.89,,,,,,,,,,,,,,,
abundantly,0.013287548,1.88,171,164,2.0,0.47,,,,,,,,,,,,,,,
abuse,0.021641809,1.66,3389,1984,39.0,1.60,,,,,,,,,,,,,,,
abused,0.0227,1.64,664,556,7.6,0.94,,,,,,,,,,,,,,,
abusers,0.06,1.20,83,67,1.0,0.29,,,,,,,,,,,,,,,
abuses,0.041299482,1.38,451,375,5.2,0.79,,,,,,,,,,,,,,,
abusing,0.022321308,1.65,181,161,2.1,0.49,,,,,,,,,,,,,,,
abusive,0.040965752,1.39,260,177,3.0,0.60,,,,,,,,,,,,,,,
abysmal,0.01,1.88,74,71,0.9,0.27,,,,,,,,,,,,,,,
abyss,0.022384253,1.65,141,128,1.6,0.42,,,,,,,,,,,,,,,
academia,0.041268743,1.38,103,92,1.2,0.34,,,,,,,,,,,,,,,
academic,0.02574175,1.59,4809,2895,55.3,1.75,,,,,,,,,,,,,,,
academically,0.044140026,1.36,171,160,2.0,0.47,,,,,,,,,,,,,,,
academics,0.028827757,1.54,786,617,9.0,1.00,,,,,,,,,,,,,,,
academies,0.035156641,1.45,72,59,0.8,0.26,,,,,,,,,,,,,,,
academy,0.02,1.61,1300,934,14.9,1.20,,,,,,,,,,,,,,,
acanthus,0.11052015,0.96,60,40,0.7,0.23,,,,,,,,,,,,,,,
accede,0.02076751,1.68,98,94,1.1,0.33,,,,,,,,,,,,,,,
acceded,0.022500655,1.65,105,103,1.2,0.34,,,,,,,,,,,,,,,
accelerate,0.014620345,1.84,402,369,4.6,0.75,,,,,,,,,,,,,,,
accelerated,0.012439429,1.91,664,605,7.6,0.94,,,,,,,,,,,,,,,
accelerates,0.0361,1.44,66,64,0.8,0.25,,,,,,,,,,,,,,,
accelerating,0.017530602,1.76,298,276,3.4,0.65,,,,,,,,,,,,,,,
acceleration,0.036493716,1.44,560,364,6.4,0.87,,,,,,,,,,,,,,,
accelerator,0.060960684,1.21,307,218,3.5,0.66,,,,,,,,,,,,,,,
accent,0.021768466,1.66,1147,995,13.2,1.15,,,,,,,,,,,,,,,
accented,0.040518616,1.39,66,59,0.8,0.25,,,,,,,,,,,,,,,
accents,0.0265,1.58,362,290,4.2,0.71,,,,,,,,,,,,,,,
accentuate,0.0177,1.75,90,86,1.0,0.31,,,,,,,,,,,,,,,
accentuated,0.009848698,2.01,220,209,2.5,0.55,,,,,,,,,,,,,,,
accept,0.01,2.08,8591,7086,98.7,2.00,,,,,,,,,,,,,,,
acceptability,0.02,1.72,273,236,3.1,0.62,,,,,,,,,,,,,,,
acceptable,0.008341402,2.08,3363,2939,38.7,1.60,,,,,,,,,,,,,,,
acceptance,0.010424306,1.98,2585,2122,29.7,1.49,,,,,,,,,,,,,,,
acceptances,0.15988575,0.80,86,52,1.0,0.30,,,,,,,,,,,,,,,
accepted,0.006654127,2.18,8312,7150,95.5,1.98,,,,,,,,,,,,,,,
accepting,0.007943443,2.10,1631,1500,18.7,1.30,,,,,,,,,,,,,,,
accepts,0.0112,1.95,754,696,8.7,0.99,,,,,,,,,,,,,,,
access,0.012048116,1.92,10266,6539,118.0,2.08,,,,,,,,,,,,,,,
accessed,0.064334955,1.19,354,271,4.1,0.70,,,,,,,,,,,,,,,
accesses,0.091551865,1.04,83,47,1.0,0.29,,,,,,,,,,,,,,,
accessibility,0.02,1.64,303,232,3.5,0.65,,,,,,,,,,,,,,,
accessible,0.011398306,1.94,1590,1358,18.3,1.29,,,,,,,,,,,,,,,
accessing,0.07,1.17,154,138,1.8,0.44,,,,,,,,,,,,,,,
accession,0.044321263,1.35,526,415,6.0,0.85,,,,,,,,,,,,,,,
accessories,0.0510,1.29,520,396,6.0,0.84,,,,,,,,,,,,,,,
accessory,0.026822035,1.57,213,174,2.4,0.54,,,,,,,,,,,,,,,
accident,0.023946474,1.62,5860,3675,67.4,1.83,,,,,,,,,,,,,,,
accidental,0.013072599,1.88,714,618,8.2,0.96,,,,,,,,,,,,,,,
