ID,Word,SER
1,abbey,4.00
2,abbot,1.27
3,abduct,4.10
4,able,1.73
5,aboard,2.27
6,abode,3.20
7,abort,3.00
8,about,1.20
9,above,2.91
10,abreast,2.00
11,abroad,4.50
12,abrupt,3.10
13,absence,2.82
14,absent,2.27
15,absolve,1.91
16,absorb,3.50
17,abstract,2.80
18,absurd,3.55
19,abuse,3.00
20,abyss,5.60
21,accent,4.27
22,accept,2.64
23,access,2.40
24,accord,2.20
25,account,2.30
26,accuse,2.45
27,ace,2.20
28,ache,4.82
29,achieve,3.36
30,acid,4.60
31,acne,5.20
32,acorn,3.18
33,acquire,2.20
34,acre,3.60
35,act,2.55
36,action,2.70
37,active,3.64
38,actor,2.60
39,actress,5.20
40,acute,2.27
41,ad,1.40
42,adage,1.30
43,adapt,2.73
44,add,2.20
45,addict,4.00
46,address,2.55
47,adept,1.70
48,adhere,2.50
49,adjourn,2.10
50,adjust,2.45
51,admire,3.00
52,admit,1.60
53,ado,1.50
54,adopt,2.70
55,adore,4.30
56,adrift,3.18
57,adult,4.00
58,advance,2.10
59,adverse,1.70
60,advice,2.45
61,advise,2.10
62,afar,2.91
63,affair,2.73
64,affect,2.20
65,afford,2.40
66,affront,2.20
67,afloat,3.91
68,afoot,2.30
69,afraid,3.00
70,after,1.60
71,again,1.64
72,against,2.00
73,age,2.25
74,agent,2.80
75,ago,1.27
76,agree,1.80
77,agreed,1.70
78,ahead,2.60
79,aid,2.40
80,aide,1.60
81,ail,2.10
82,ailment,3.82
83,aim,1.27
84,airport,4.70
85,aisle,2.67
86,alarm,5.11
87,alas,1.30
88,album,3.64
89,ale,2.82
90,alert,3.60
91,align,2.30
92,alike,3.00
93,alive,3.82
94,all,1.40
95,alley,4.00
96,allow,2.30
97,alloy,2.00
98,allure,2.30
99,ally,3.30
100,almond,4.91
101,almost,2.40
102,alms,2.25
103,aloft,2.36
104,alone,2.80
105,along,1.64
106,aloof,3.20
107,aloud,2.60
108,alp,1.82
109,alpha,1.30
110,alright,2.91
111,also,1.27
112,altar,3.64
113,alter,2.09
114,although,1.09
115,alto,2.09
116,always,2.10
117,am,1.50
118,amaze,3.30
119,amber,5.50
120,ambush,3.73
121,amen,4.73
122,amend,1.73
123,amid,2.09
124,amidst,1.80
125,amiss,1.90
126,ammo,3.91
127,among,1.60
128,amount,1.73
129,amuck,3.00
130,amuse,3.45
131,an,1.00
132,anchor,5.20
133,ancient,3.80
134,and,1.00
135,android,2.36
136,anew,1.55
137,angel,4.09
138,anger,4.82
139,angle,2.90
140,angry,4.00
141,anguish,3.27
142,ankle,3.27
143,annals,2.27
144,annex,1.73
145,announce,2.40
146,annoy,3.40
147,answer,1.90
148,ant,3.08
149,ante,1.40
150,anthem,4.30
151,anthrax,4.00
152,antique,3.60
153,antsy,4.10
154,anvil,4.10
155,anxious,4.27
156,any,1.30
157,apart,3.18
158,ape,4.18
159,apex,2.00
160,appeal,2.73
161,appear,2.50
162,applaud,4.64
163,applause,4.82
164,apple,4.60
165,apply,1.60
166,appoint,2.00
167,approach,2.50
168,approve,2.10
169,apron,2.91
170,apse,1.18
171,apt,1.18
172,arbor,2.27
173,arc,2.60
174,arcade,3.27
175,arch,2.50
176,archive,2.64
177,arctic,5.00
178,ardent,2.09
179,are,1.17
180,argue,3.20
181,arise,2.30
182,ark,2.64
183,arm,2.50
184,armor,4.36
185,armour,3.90
186,army,4.27
187,arose,3.10
188,around,1.90
189,arouse,4.36
