verb,chapter,category,subcategory,extra_specifications,page
arrange,9.1,verbs of putting,put verbs,NA,p. 111
immerse,9.1,verbs of putting,put verbs,NA,p. 111
install,9.1,verbs of putting,put verbs,NA,p. 111
lodge,9.1,verbs of putting,put verbs,NA,p. 111
mount,9.1,verbs of putting,put verbs,NA,p. 111
place,9.1,verbs of putting,put verbs,NA,p. 111
position,9.1,verbs of putting,put verbs,NA,p. 111
put,9.1,verbs of putting,put verbs,NA,p. 111
set,9.1,verbs of putting,put verbs,NA,p. 111
situate,9.1,verbs of putting,put verbs,NA,p. 111
sling,9.1,verbs of putting,put verbs,NA,p. 111
stash,9.1,verbs of putting,put verbs,NA,p. 111
stow,9.1,verbs of putting,put verbs,NA,p. 111
dangle,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
hang,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
lay,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
lean,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
perch,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
rest,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
situate,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
stand,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
suspend,9.2,verbs of putting,verbs of putting in a spatial configuration,NA,p. 112
bang,9.3,verbs of putting,funnel verbs,NA,p. 113
channel,9.3,verbs of putting,funnel verbs,NA,p. 113
dip,9.3,verbs of putting,funnel verbs,NA,p. 113
dump,9.3,verbs of putting,funnel verbs,NA,p. 113
funnel,9.3,verbs of putting,funnel verbs,NA,p. 113
hammer,9.3,verbs of putting,funnel verbs,NA,p. 113
ladle,9.3,verbs of putting,funnel verbs,NA,p. 113
pound,9.3,verbs of putting,funnel verbs,NA,p. 113
push,9.3,verbs of putting,funnel verbs,NA,p. 113
rake,9.3,verbs of putting,funnel verbs,NA,p. 113
ram,9.3,verbs of putting,funnel verbs,NA,p. 113
scoop,9.3,verbs of putting,funnel verbs,NA,p. 113
scrape,9.3,verbs of putting,funnel verbs,NA,p. 113
shake,9.3,verbs of putting,funnel verbs,NA,p. 113
shovel,9.3,verbs of putting,funnel verbs,NA,p. 113
siphon,9.3,verbs of putting,funnel verbs,NA,p. 113
spoon,9.3,verbs of putting,funnel verbs,NA,p. 113
squeeze,9.3,verbs of putting,funnel verbs,NA,p. 113
squish,9.3,verbs of putting,funnel verbs,NA,p. 113
squash,9.3,verbs of putting,funnel verbs,NA,p. 113
sweep,9.3,verbs of putting,funnel verbs,NA,p. 113
tuck,9.3,verbs of putting,funnel verbs,NA,p. 113
wad,9.3,verbs of putting,funnel verbs,NA,p. 113
wedge,9.3,verbs of putting,funnel verbs,NA,p. 113
wipe,9.3,verbs of putting,funnel verbs,NA,p. 113
wring,9.3,verbs of putting,funnel verbs,NA,p. 113
drop,9.4,verbs of putting,verbs of putting with a specified direction,NA,p. 114
hoist,9.4,verbs of putting,verbs of putting with a specified direction,NA,p. 114
lift,9.4,verbs of putting,verbs of putting with a specified direction,NA,p. 114
lower,9.4,verbs of putting,verbs of putting with a specified direction,NA,p. 114
raise,9.4,verbs of putting,verbs of putting with a specified direction,NA,p. 114
dribble,9.5,verbs of putting,pour verbs,NA,p. 115
drip,9.5,verbs of putting,pour verbs,NA,p. 115
pour,9.5,verbs of putting,pour verbs,NA,p. 115
slop,9.5,verbs of putting,pour verbs,NA,p. 115
slosh,9.5,verbs of putting,pour verbs,NA,p. 115
spew,9.5,verbs of putting,pour verbs,NA,p. 115
spill,9.5,verbs of putting,pour verbs,NA,p. 115
spurt,9.5,verbs of putting,pour verbs,NA,p. 115
coil,9.6,verbs of putting,coil verbs,NA,p. 116
curl,9.6,verbs of putting,coil verbs,NA,p. 116
loop,9.6,verbs of putting,coil verbs,NA,p. 116
roll,9.6,verbs of putting,coil verbs,NA,p. 116
spin,9.6,verbs of putting,coil verbs,NA,p. 116
twirl,9.6,verbs of putting,coil verbs,NA,p. 116
