Word	VersionNum	WordType	Block	Word_ID_unique	RTclean_mean	RTclean_sd	Rtclean_n	zRTclean_mean	zRTclean_sd	zRTclean_n	ACC	ACC_n	Concrete_rating
aback	8	Abstract	1	80216	1159.14	389.30	22	0.44	1.11	22	70.97	31	1.65
abacus	1	Concrete	1	10045	1195.29	468.90	24	0.42	0.84	24	77.42	31	4.52
abdicate	3	Abstract	1	30219	1266.86	469.69	28	0.56	1.14	28	93.55	31	2.08
abdomen	5	Concrete	1	50036	893.41	252.89	32	-0.33	0.60	32	100.00	32	4.7
abdominal	7	Concrete	4	70850	1072.36	454.62	25	0.38	1.07	25	80.65	31	4.28
abhor	4	Abstract	2	40429	976.28	245.88	25	0.01	0.81	25	78.13	32	1.81
abide	7	Abstract	1	70197	1045.92	343.84	26	0.02	0.94	26	83.87	31	1.68
ability	10	Abstract	2	100377	903.07	367.10	30	-0.48	0.76	30	96.88	32	1.81
abject	7	Abstract	4	70931	1051.78	410.17	27	0.48	1.40	27	87.10	31	1.67
ablaze	8	Concrete	1	80048	1074.87	279.27	15	0.20	0.81	15	48.39	31	3.82
able	9	Abstract	2	90400	903.24	334.19	29	-0.26	1.01	29	96.67	30	2.38
ably	10	Abstract	4	100947	985.00	403.45	29	0.09	1.10	29	93.75	32	1.78
abnormal	10	Abstract	3	100711	1082.00	487.45	29	0.15	1.10	29	90.63	32	2.14
abode	8	Concrete	2	80346	1104.73	292.36	15	0.54	1.00	15	48.39	31	3.92
abolish	2	Abstract	4	20981	962.39	404.46	28	0.09	1.13	28	90.32	31	2.19
abolition	4	Abstract	3	40673	1005.89	270.05	27	0.26	0.86	27	84.38	32	2.43
abominably	6	Abstract	4	60891	994.69	556.37	29	-0.10	1.06	29	96.77	31	2.14
abomination	1	Abstract	1	10238	1289.92	488.72	26	0.79	1.17	26	80.65	31	2.23
abortive	9	Abstract	3	90694	1161.22	403.88	27	0.64	1.00	27	90.00	30	1.88
abound	6	Abstract	3	60718	1007.97	393.97	29	-0.12	0.88	29	93.55	31	2.27
abrasion	8	Concrete	3	80617	1163.38	375.70	16	0.60	1.02	16	48.39	31	4.57
abreast	3	Abstract	2	30391	1292.29	439.35	17	1.07	1.08	17	54.84	31	2.23
abridged	9	Abstract	2	90395	1173.88	323.39	26	0.74	0.92	26	83.33	30	1.77
abrupt	6	Abstract	3	60632	944.20	392.05	25	-0.16	0.92	25	80.65	31	2.27
abruptly	1	Abstract	3	10723	952.30	408.47	30	-0.25	0.80	30	100.00	31	2.36
abruptness	6	Abstract	3	60746	962.27	298.22	30	-0.16	0.73	30	96.77	31	2.04
abscess	3	Concrete	3	30539	1035.86	252.94	7	0.94	0.64	7	22.58	31	4.48
absence	6	Abstract	1	60158	1011.12	353.08	25	-0.26	0.59	25	80.65	31	2.31
absinthe	10	Concrete	4	100859	1163.84	517.70	19	0.65	1.24	19	53.13	32	4.3
absolutely	All	Abstract											1.97
absolve	4	Abstract	3	40635	885.88	328.62	32	-0.28	0.79	32	100.00	32	1.85
abstain	4	Abstract	2	40439	1070.80	398.48	30	0.14	0.96	30	93.75	32	2.38
abstention	5	Abstract	1	50192	1089.79	267.86	29	0.43	0.97	29	93.75	32	2.16
abstractly	4	Abstract	1	40204	893.84	220.47	32	-0.43	0.59	32	100.00	32	1.36
absurdity	8	Abstract	3	80683	981.42	356.44	31	-0.02	1.01	31	100.00	31	1.25
absurdly	9	Abstract	3	90667	846.21	323.36	29	-0.46	0.87	29	96.67	30	1.55
abundance	7	Abstract	3	70654	995.93	411.83	30	-0.02	1.12	30	96.77	31	2.21
abundantly	6	Abstract	2	60420	1102.93	401.35	30	0.22	0.94	30	100.00	31	2.22
accelerator	4	Concrete	1	40068	1150.75	462.73	24	0.36	1.16	24	75.00	32	4.32
acceptance	1	Abstract	4	10946	972.42	304.09	31	0.02	0.92	31	100.00	31	2.21
accessible	6	Abstract	2	60477	1016.25	394.44	28	0.00	1.13	28	93.55	31	1.8
accessory	10	Concrete	1	100119	1137.62	483.71	29	0.21	1.00	29	90.63	32	4.1
accidentally	9	Abstract	1	90143	1049.79	378.78	29	-0.05	0.87	29	96.67	30	1.71
acclaim	5	Abstract	4	50928	886.90	229.38	30	-0.23	0.88	30	93.75	32	2.04
acclimate	9	Abstract	2	90450	1116.26	469.88	27	0.44	1.08	27	90.00	30	1.79
accolade	5	Abstract	1	50139	1025.04	203.93	26	0.20	0.92	26	84.38	32	2.46
accommodate	7	Abstract	1	70191	1154.47	360.46	30	0.38	0.95	30	96.77	31	1.86
accomplish	9	Abstract	1	90214	1147.04	480.06	28	0.17	1.01	28	93.33	30	2.33
accord	1	Abstract	1	10174	1093.70	345.29	23	0.17	1.00	23	77.42	31	1.57
according	4	Abstract	3	40724	848.41	271.58	32	-0.38	0.81	32	100.00	32	1.63
accordion	9	Concrete	3	90503	987.88	316.66	26	-0.08	0.83	26	86.67	30	4.86
accountancy	4	Abstract	4	40880	1066.41	382.49	27	0.45	1.12	27	87.10	31	1.68
accountant	9	Concrete	1	90013	874.47	204.90	30	-0.60	0.58	30	100.00	30	4.41
accredited	4	Abstract	4	40911	995.89	313.00	28	0.22	0.95	28	93.55	31	2.27
accrue	5	Abstract	4	50910	1080.46	369.59	26	0.47	1.21	26	81.25	32	1.61
accuracy	7	Abstract	1	70135	1090.12	273.59	26	0.14	0.78	26	83.87	31	1.85
accurate	6	Abstract	1	60156	1024.92	325.97	25	-0.16	0.77	25	80.65	31	1.9
accursed	9	Abstract	4	90949	989.83	387.85	30	0.14	0.98	30	100.00	30	1.93
accuse	9	Abstract	2	90447	944.21	321.53	28	-0.03	0.88	28	93.33	30	2.25
accustom	9	Abstract	2	90418	1092.44	370.08	27	0.31	0.69	27	90.00	30	1.48
acetylene	3	Concrete	2	30278	1201.23	367.53	26	0.53	1.01	26	83.87	31	3.58
achievable	5	Abstract	4	50938	944.03	366.65	32	-0.18	1.01	32	100.00	32	2.07
achieve	2	Abstract	4	20935	899.70	274.99	30	-0.27	0.60	30	96.77	31	2.29
acknowledge	10	Abstract	4	100916	1023.13	377.13	30	0.09	0.92	30	96.88	32	2.03
acorn	3	Concrete	4	30776	752.64	159.53	28	-0.68	0.49	28	90.32	31	4.96
acquaint	9	Abstract	2	90387	1097.08	328.58	24	0.26	0.79	24	80.00	30	1.52
acquiesce	3	Abstract	1	30210	1387.79	511.80	28	0.93	1.12	28	90.32	31	2.21
acquit	6	Abstract	2	60421	1098.57	446.88	23	0.19	0.99	23	77.42	31	2.13
acquittal	9	Abstract	3	90630	1085.67	436.14	27	0.31	1.12	27	83.33	30	2.38
acrobatics	3	Concrete	2	30361	1114.87	318.63	23	0.44	0.75	23	80.65	31	4.36
act	5	Abstract	4	50905	1099.94	442.69	18	0.33	1.28	18	56.25	32	2.46
actionable	4	Abstract	1	40170	1168.85	486.49	27	0.46	1.07	27	84.38	32	2.04
activation	8	Abstract	4	80913	984.46	331.04	26	0.03	0.99	26	87.10	31	2.41
