WORD,OFREQ,ARC,NCOUNT,INVERSENCOUNT
'S,4087.599121,0.703814387,9795,0.000102082
A.M.,10.28047657,0.564300597,415,0.002403846
AA,12.82501888,0.592824936,2978,0.000335683
AAH,0.293756843,0.208198279,0,1
AARON,16.24475288,0.620586514,4405,0.000226963
ABACK,0.449751854,0.305214822,0,1
ABACUS,0.575358212,0.297519654,0,1
ABAFT,0.17726706,0.349644929,0,1
ABANDON,10.48205471,0.589893878,2511,0.000398089
ABANDONED,53.04235458,0.664087653,7627,0.000131096
ABANDONING,4.183502674,0.554907084,162,0.006134969
ABANDONMENT,4.194644928,0.54690212,0,1
ABANDONS,1.404968023,0.444683731,0,1
ABASE,0.019246139,0.255745023,0,1
ABASEMENT,0.030388638,0.203669533,0,1
ABASH,0.004051819,0.151614934,0,1
ABASHED,0.028362729,0.208702236,0,1
ABATE,0.475075722,0.273754865,0,1
ABATED,0.508503199,0.299159884,0,1
ABATEMENT,0.507490277,0.336255074,0,1
ABATES,0.059764322,0.17639327,0,1
ABATING,0.070906825,0.164710402,0,1
ABATTOIR,0.330223203,0.265518188,0,1
ABATTOIRS,0.109399103,0.21639429,0,1
ABBE,0.607772768,0.295409352,0,1
ABBESS,1.581222177,0.411532521,0,1
ABBEY,35.01885605,0.606291056,3686,0.000271223
ABBEYS,1.060563445,0.443391502,0,1
ABBIE,0.614863455,0.35968107,0,1
ABBOT,10.58436298,0.569186568,524,0.001904762
ABBOTS,1.598442435,0.450387746,0,1
ABBOTT,6.558881283,0.578055203,1148,0.000870322
ABBREVIATE,0.158020929,0.215259448,0,1
ABBREVIATED,12.13722229,0.581735671,1643,0.000608273
ABBREVIATION,5.62594986,0.542393506,0,1
ABBREVIATIONS,1.462706447,0.430942118,0,1
ABBY,3.218156815,0.557088554,52,0.018867925
ABC,39.24287415,0.625878394,5324,0.000187793
ABDICATE,1.071705937,0.412618011,0,1
ABDICATED,1.687582374,0.458324581,0,1
ABDICATING,0.144852519,0.266102463,0,1
ABDICATION,2.000585318,0.466462523,0,1
ABDOMEN,4.892570972,0.560193837,4,0.200000003
ABDOMENS,0.18233183,0.299244225,0,1
ABDOMINAL,3.846188784,0.561240137,6,0.142857149
ABDUCT,0.642213225,0.371569633,0,1
ABDUCTED,3.743880272,0.565225899,3,0.25
ABDUCTING,0.363650709,0.302436769,0,1
ABDUCTION,3.237402916,0.532117784,0,1
ABDUL,11.99034405,0.56311065,397,0.002512563
ABE,4.308095932,0.559083283,111,0.008928572
ABED,0.299834579,0.250094205,0,1
ABEL,4.980698109,0.56190747,196,0.005076142
ABERNATHY,0.522684574,0.328948051,0,1
ABERRANT,0.601695061,0.377060115,0,1
ABERRATION,1.004850984,0.398115307,0,1
ABERRATIONS,0.578397095,0.349345386,0,1
ABET,0.297808647,0.284368038,0,1
ABETS,0.032414548,0.24553591,0,1
ABETTED,0.259316385,0.226161569,0,1
ABETTING,0.461907297,0.331194878,0,1
ABEYANCE,0.808337808,0.318935513,0,1
ABHOR,0.103321373,0.202835649,0,1
ABHORRED,0.253238648,0.244478062,0,1
ABHORRENCE,0.187396601,0.223549604,0,1
ABHORRENT,0.259316385,0.258291721,0,1
ABHORS,0.132697061,0.190458059,0,1
ABIDE,1.868901253,0.438459188,0,1
ABIDED,0.132697061,0.222389624,0,1
ABIDES,0.203603879,0.218299568,0,1
ABIDING,0.893426001,0.369139612,0,1
ABIGAIL,2.47768712,0.537922978,0,1
ABILITIES,27.69924355,0.635582805,5826,0.000171615
ABILITY,85.57744598,0.66938442,7553,0.00013238
ABJECT,0.467985034,0.294056445,0,1
ABJECTION,0.055712506,0.169762686,0,1
ABJECTLY,0.023297956,0.212640613,0,1
ABJURE,0.095217735,0.236925527,0,1
ABLATIVE,0.442661166,0.341420084,0,1
ABLAZE,0.964332819,0.387351662,0,1
ABLE,175.0638885,0.68483597,8430,0.00011861
ABLER,0.039505232,0.19016993,0,1
ABLEST,0.331236154,0.247395515,0,1
ABLUTION,0.228927746,0.266846478,0,1
ABLUTIONS,0.157007962,0.266846478,0,1
ABLY,0.606759846,0.312208623,0,1
ABNEGATION,0.034440458,0.19664526,0,1
ABNORMAL,4.433702469,0.565143883,79,0.0125
ABNORMALITIES,2.516179323,0.564996898,6,0.142857149
ABNORMALITY,0.851894855,0.476060688,0,1
ABNORMALLY,1.223649144,0.438629001,0,1
ABO,0.455829591,0.242642403,0,1
ABOARD,22.17357635,0.612443626,4090,0.000244439
ABODE,2.16772294,0.438499033,0,1
ABODES,0.222850025,0.247517452,0,1
ABOLISH,2.907179832,0.528432786,0,1
ABOLISHED,19.76882172,0.582118094,1478,0.000676133
ABOLISHES,0.122567512,0.208160326,0,1
ABOLISHING,1.510315299,0.475248337,0,1
ABOLITION,8.148206711,0.567118526,263,0.003787879
ABOLITIONIST,2.669135332,0.4891949,0,1
ABOLITIONISTS,0.993708491,0.417714536,0,1
ABOMINABLE,0.601695061,0.324679106,0,1
ABOMINABLY,0.026336821,0.216599494,0,1
ABOMINATE,0.006077728,0.315762609,0,1
ABOMINATION,0.7283144,0.352184355,0,1
ABOMINATIONS,0.266407073,0.238569662,0,1
ABORIGINAL,14.79622841,0.592809796,3014,0.000331675
ABORIGINALS,0.730340302,0.388239592,0,1
ABORIGINE,0.3281973,0.271594763,0,1
ABORIGINES,2.636720896,0.512786746,0,1
ABORT,1.334061265,0.391536266,0,1
ABORTED,2.320678949,0.474905759,0,1
ABORTING,0.175241157,0.232627004,0,1
ABORTION,11.40283012,0.580937326,1733,0.000576701
ABORTIONIST,0.066855006,0.161756665,0,1
ABORTIONISTS,0.034440458,0.213767573,0,1
ABORTIONS,1.874979019,0.515473425,0,1
ABORTIVE,1.718984008,0.430723906,0,1
ABOUND,1.636934638,0.455003649,0,1
ABOUNDED,0.511542082,0.292456597,0,1
ABOUNDING,0.241083205,0.244144231,0,1
ABOUNDS,0.513567984,0.323715359,0,1
ABOUT,900.9785767,0.698406041,9599,0.000104167
ABOVE,163.7593079,0.681767881,8495,0.000117702
ABOVEBOARD,0.01316841,0.236952037,0,1
ABOVEGROUND,0.996747375,0.398090452,0,1
ABRACADABRA,0.123580463,0.196510747,0,1
ABRADED,0.107373193,0.227444842,0,1
ABRAHAM,19.29172134,0.613748908,4395,0.00022748
ABRAM,1.478913784,0.422663122,0,1
ABRAMS,3.007462263,0.529169381,0,1
ABRASION,0.689822078,0.401264459,0,1
ABRASIONS,0.169163421,0.303812087,0,1
ABRASIVE,1.660232663,0.4549115,0,1
ABRASIVELY,0.01316841,0.234908134,0,1
ABRASIVES,0.239057288,0.310914755,0,1
ABREAST,0.898490727,0.334963828,0,1
ABRIDGE,0.124593422,0.204367176,0,1
ABRIDGED,1.590338707,0.426331967,0,1
ABRIDGMENT,0.235005468,0.252088577,0,1
ABROAD,29.67045403,0.636860669,5931,0.000168577
ABROGATE,0.216772288,0.276169389,0,1
ABROGATED,0.594604373,0.36115551,0,1
ABROGATES,0.024310911,0.20935984,0,1
ABROGATION,0.277549565,0.273602635,0,1
ABRUPT,3.057096958,0.504546404,0,1
ABRUPTLY,5.321050644,0.565634489,627,0.001592357
ABRUPTNESS,0.053686596,0.167916298,0,1
ABSCESS,0.574345291,0.390183896,0,1
ABSCESSES,0.302873433,0.392566055,0,1
ABSCISSA,0.077997506,0.272905767,0,1
ABSCOND,0.093191825,0.185292304,0,1
ABSENCE,28.19052696,0.651322067,6934,0.000144196
ABSENCES,0.793143451,0.3302885,0,1
ABSENT,11.94779968,0.607609093,3976,0.000251446
ABSENTED,0.100282505,0.193049714,0,1
ABSENTEE,1.186169863,0.396150231,0,1
ABSENTEEISM,0.254251599,0.277275771,0,1
ABSENTEES,0.142826602,0.196084246,0,1
ABSENTING,0.025323866,0.223385125,0,1
ABSENTLY,0.010129547,0.28197068,0,1
ABSENTMINDEDLY,0.077997506,0.183517978,0,1
ABSINTH,0.041531138,0.1914794,0,1
ABSOLUTE,19.31704521,0.623050332,4823,0.000207297
ABSOLUTELY,8.239373207,0.591504812,2752,0.00036324
ABSOLUTENESS,0.048621822,0.185773998,0,1
ABSOLUTES,0.137761831,0.218726858,0,1
ABSOLUTION,0.79213053,0.353514314,0,1
ABSOLUTISM,0.575358212,0.362985015,0,1
ABSOLVE,0.296795696,0.257008046,0,1
ABSOLVED,0.604733884,0.313166261,0,1
ABSOLVES,0.063816145,0.197702974,0,1
ABSOLVING,0.099269554,0.201746628,0,1
ABSORB,5.614807606,0.560882807,257,0.003875969
ABSORBED,15.97328186,0.599729717,2935,0.000340599
ABSORBENCY,0.085088186,0.208711624,0,1
ABSORBENT,0.487231165,0.358096659,0,1
ABSORBER,0.684757352,0.388142049,0,1
ABSORBING,3.263739824,0.542579472,0,1
ABSORBS,1.918536067,0.484940499,0,1
ABSORPTION,7.33885622,0.576711357,686,0.001455604
ABSORPTIONS,0.077997506,0.215973839,0,1
ABSORPTIVE,0.193474337,0.272729605,0,1
ABSTAIN,1.048408031,0.360769302,0,1
ABSTAINED,0.989656687,0.376636297,0,1
ABSTAINER,0.018233184,0.256492317,0,1
ABSTAINING,0.489257097,0.328637749,0,1
ABSTAINS,0.095217735,0.235121176,0,1
ABSTEMIOUS,0.032414548,0.187821805,0,1
ABSTEMIOUSNESS,0.005064773,0.402599543,0,1
ABSTENTION,0.526736379,0.330964148,0,1
ABSTENTIONS,0.457855493,0.29559356,0,1
ABSTINENCE,1.623766303,0.444872051,0,1
ABSTINENT,0.088127054,0.194346771,0,1
ABSTRACT,14.81851292,0.605375707,3467,0.000288351
ABSTRACTED,0.707042336,0.375557512,0,1
ABSTRACTEDLY,0.003038864,0.362737536,0,1
ABSTRACTING,0.308951169,0.325524867,0,1
ABSTRACTION,3.572690964,0.557895482,24,0.039999999
ABSTRACTIONISM,0.040518187,0.202253625,0,1
ABSTRACTIONISTS,0.034440458,0.230307698,0,1
ABSTRACTIONS,0.808337808,0.438738704,0,1
ABSTRACTIVE,0.012155456,0.223353356,0,1
ABSTRACTLY,0.31908071,0.362579823,0,1
ABSTRACTORS,0.005064773,0.291804969,0,1
ABSTRACTS,1.494108081,0.428781718,0,1
ABSTRUSE,0.162072748,0.247653201,0,1
ABSURD,3.16041851,0.534796119,0,1
ABSURDITIES,0.281601399,0.259402514,0,1
ABSURDITY,0.878231645,0.38774249,0,1
ABSURDLY,0.249186844,0.245358869,0,1
ABUNDANCE,7.783543587,0.577360511,1164,0.000858369
ABUNDANT,10.17107773,0.581659138,1360,0.000734754
ABUNDANTLY,0.765793681,0.3633928,0,1
ABUSE,25.73411179,0.622949123,5054,0.000197824
ABUSED,5.05261755,0.556252778,39,0.025
ABUSES,5.093135834,0.562402368,100,0.00990099
ABUSING,1.589325786,0.442759901,0,1
ABUSIVE,4.137919426,0.557978213,19,0.050000001
ABUT,0.208668649,0.249234036,0,1
ABUTMENT,0.344404578,0.341361642,0,1
ABUTMENTS,0.554086208,0.370911956,0,1
ABYSMAL,0.401130021,0.282800615,0,1
ABYSMALLY,0.046595912,0.174302951,0,1
ABYSS,2.947697878,0.497190297,0,1
ABYSSES,0.043557048,0.200776383,0,1
ACACIA,2.44122076,0.444290847,0,1
ACACIAS,0.17321524,0.292685449,0,1
ACADEMIC,85.34243774,0.655461073,6838,0.00014622
ACADEMICALLY,2.693446398,0.544707298,0,1
ACADEMICALS,0.242096156,0.240289465,0,1
ACADEMICIAN,1.420162439,0.393195331,0,1
ACADEMICIANS,0.674627781,0.38332212,0,1
ACADEMICS,12.49276924,0.595378757,3050,0.000327761
ACADEMIES,4.608943462,0.569461703,22,0.043478262
ACADEMY,148.6115875,0.64980793,6408,0.000156031
ACADIA,1.612623811,0.405243278,0,1
ACAPULCO,1.393825531,0.411367655,0,1
ACC.,0.240070254,0.238599926,0,1
ACCEDE,0.586500704,0.311100155,0,1
ACCEDED,1.179079175,0.370833695,0,1
ACCEDES,0.068880916,0.165240362,0,1
ACCEDING,0.210694566,0.262450933,0,1
ACCELERANDO,0.048621822,0.174926132,0,1
ACCELERATE,3.863409042,0.554919004,25,0.03846154
ACCELERATED,7.231482983,0.581656218,1738,0.000575043
ACCELERATES,0.957242131,0.422595322,0,1
ACCELERATING,2.288264513,0.522197068,0,1
ACCELERATION,7.225405216,0.577690661,917,0.001089325
ACCELERATIONS,0.340352744,0.37258783,0,1
ACCELERATOR,2.587086201,0.505868018,0,1
ACCELERATORS,0.949138463,0.427079111,0,1
ACCELEROMETER,0.325158447,0.347204626,0,1
ACCELEROMETERS,0.278562516,0.358641416,0,1
ACCENT,8.967687607,0.571563601,1171,0.000853242
ACCENTED,0.999786198,0.3935377,0,1
ACCENTING,0.080023415,0.197761729,0,1
ACCENTS,3.20498848,0.523440719,0,1
ACCENTUAL,0.103321373,0.247076705,0,1
ACCENTUATE,0.450764805,0.300926,0,1
ACCENTUATED,0.75566417,0.346599221,0,1
ACCENTUATES,0.174228191,0.21088095,0,1
ACCENTUATING,0.17726706,0.224183649,0,1
ACCENTUATION,0.181318879,0.301556528,0,1
ACCEPT,35.55369568,0.647914648,6416,0.000155836
ACCEPTABILITY,0.445700049,0.309938759,0,1
ACCEPTABLE,10.8527956,0.60857445,3531,0.000283126
ACCEPTABLY,0.170176372,0.229388684,0,1
ACCEPTANCE,15.16899586,0.621674657,4740,0.000210926
ACCEPTANCES,0.105347283,0.206942022,0,1
ACCEPTED,74.7550354,0.675987422,8198,0.000121966
ACCEPTING,10.56106472,0.605830431,3769,0.000265252
ACCEPTS,9.928980827,0.598316967,3200,0.000312402
ACCESS,117.5858002,0.670587182,7591,0.000131718
ACCESSES,0.997760296,0.418881893,0,1
