row_id,subj_code,batch_num,bin,trial_number,word,key,rt
1,7000,1,1,1,freakish,6,6422
2,7000,1,1,2,peace,4,12874
3,7000,1,1,3,stalked,6,7535
4,7000,1,1,4,lactose,1,9145
5,7000,1,1,5,lowly,5,10774
6,7000,1,1,6,sulphur,1,7791
7,7000,1,1,7,invariant,3,11122
8,7000,1,1,8,responsible,3,7010
9,7000,1,1,9,reform,3,8231
10,7000,1,1,10,valley,5,4561
11,7000,1,1,11,whirr,7,3217
12,7000,1,1,12,empress,4,24299
13,7000,1,1,13,pant,5,6604
14,7000,1,1,14,excise,6,2881
15,7000,1,1,15,competence,3,4256
16,7000,1,1,16,grump,6,3948
17,7000,1,1,17,sympathetic,3,5406
18,7000,1,1,18,prune,5,2350
19,7000,1,1,19,theorize,2,7642
20,7000,1,1,20,colossal,5,8130
21,7000,1,1,21,qualified,2,6130
22,7000,1,1,22,phenomenal,5,8393
23,7000,1,1,23,adulterer,2,8162
24,7000,1,1,25,faulty,5,13813
25,7000,1,1,26,coverage,3,3291
26,7000,1,1,27,fixation,4,6738
27,7000,1,1,28,sight,3,9468
28,7000,1,1,29,allegiance,2,9604
29,7000,1,1,30,breakage,5,9978
30,7000,1,1,31,distrustful,3,3767
31,7000,1,1,32,yank,7,6145
32,7000,1,1,33,library,2,5750
33,7000,1,1,34,circumspect,4,8310
34,7000,1,1,35,aunt,1,8138
35,7000,1,1,36,observer,3,3733
36,7000,1,1,37,trade,3,4172
37,7000,1,1,38,measurement,4,12542
38,7000,1,1,39,constitute,3,2648
39,7000,1,1,40,drill,6,2242
40,7000,1,1,41,porch,5,2153
41,7000,1,1,42,jealous,3,3163
42,7000,1,1,43,solitaire,4,3975
43,7000,1,1,44,ruffle,7,3488
44,7000,1,1,45,here,3,7185
45,7000,1,1,46,tireless,2,5434
46,7000,1,1,47,nirvana,6,12508
47,7000,1,1,48,delightful,3,6723
48,7000,1,1,49,butler,2,4274
49,7000,1,1,50,uneventful,1,4001
50,7000,1,1,51,hydroplane,5,4971
51,7000,1,1,52,articulate,5,4309
52,7000,1,1,53,change,3,5133
53,7000,1,1,54,cubicle,5,7666
54,7000,1,1,55,bass,6,2668
55,7000,1,1,57,instruct,4,4986
56,7000,1,1,59,dialysis,4,16374
57,7000,1,1,60,stinky,6,3400
58,7000,1,1,61,gamble,5,1910
59,7000,1,1,62,handshake,4,6428
60,7000,1,1,63,goo-goo,7,5852
61,7000,1,1,64,honeycomb,3,6523
62,7000,1,1,65,deserving,3,3495
63,7000,1,1,66,smash,7,2295
