word,n_ratings,n,prop_known,rating,rating_sd
aback,10,11,0.9090909090909091,3.7,1.4181364924121764
abandon,10,10,1,3.8,1.9321835661585918
abandoned,9,9,1,4.444444444444445,1.4240006242195884
abase,10,11,0.9090909090909091,2.5,2.068278940998476
abash,10,11,0.9090909090909091,3.4,2.6749870196985173
abate,9,9,1,2.7777777777777777,1.7873008824606014
abbey,10,11,0.9090909090909091,2.4,1.6465452046971292
abdomen,10,10,1,3.2,1.7511900715418263
abdominal,10,10,1,3.6,2.0110804171997807
abduct,9,9,1,4.333333333333333,2.1213203435596424
abduction,10,10,1,4.1,1.728840330651992
abide,10,10,1,3.2,1.4757295747452437
abiding,10,10,1,3.4,1.577621275493231
ability,10,10,1,3.2,1.3165611772087666
abject,10,11,0.9090909090909091,3.3,2.0027758514399734
able,8,8,1,3.5,1.6903085094570331
ably,10,10,1,3,2
abnormal,10,10,1,3.2,2.3944379994757297
abnormality,9,9,1,2.7777777777777777,1.3944333775567925
aboard,9,9,1,3.6666666666666665,2.3979157616563596
abode,10,10,1,3.4,2.0110804171997807
abolish,9,9,1,2.6666666666666665,0.7071067811865476
abolition,10,10,1,3.4,2.0110804171997807
abominable,10,11,0.9090909090909091,3.9,2.0789954839350235
abominate,10,10,1,2.7,2.057506581601462
abomination,10,10,1,4.8,1.9321835661585918
abort,10,10,1,3.8,1.9321835661585918
abortion,9,9,1,4.222222222222222,1.6414763002993509
abound,9,10,0.9,4,1.8027756377319946
about,10,10,1,2,1.1547005383792515
above,10,10,1,3.8,1.9888578520235065
abrasion,9,9,1,4.888888888888889,1.1666666666666667
abrasive,10,10,1,4,2.0548046676563256
abridge,10,12,0.8333333333333334,3.9,2.378141197564929
abroad,9,9,1,3.5555555555555554,2.1278575558006176
abrupt,10,10,1,4.9,1.7919573407620817
absence,9,10,0.9,3.111111111111111,1.4529663145135578
absent,9,9,1,2.3333333333333335,1.224744871391589
absently,9,9,1,2.888888888888889,1.4529663145135578
absinthe,10,12,0.8333333333333334,2.5,1.4337208778404378
absolute,9,9,1,2.888888888888889,2.0275875100994063
absolutely,9,9,1,4.666666666666667,1.5
absolution,9,9,1,3.2222222222222223,1.855921454276674
absolve,12,12,1,2.75,1.4847711791873706
absorb,10,10,1,4.7,1.888562063228706
absorbent,10,10,1,4.5,2.068278940998476
